"AVAILABLEMEMORY","CPULOADLAST15MINUTE","CPULOADLAST1MINUTE","CPULOADLAST5MINUTE","FREEMEMORY","FREESWAPMEMORY","TIME","TOTALMEMORY","TOTALSWAPMEMORY","USEDMEMORY","USEDSWAPMEMORY"
"7001","1.36","1.05","1.19","3358","0","22:50:00","15894","0","7783","40"
"6896","1.36","1.05","1.19","3253","0","22:50:01","15894","0","7865","40"
"6866","1.36","1.05","1.19","3223","0","22:50:02","15894","0","7894","40"
"6880","1.36","1.05","1.19","3237","0","22:50:03","15894","0","7896","40"
"6880","1.36","1.05","1.19","3237","0","22:50:04","15894","0","7896","40"
"6880","1.35","0.97","1.17","3237","0","22:50:05","15894","0","7896","40"
"6880","1.35","0.97","1.17","3238","0","22:50:06","15894","0","7896","40"
"6879","1.35","0.97","1.17","3237","0","22:50:07","15894","0","7897","40"
"6881","1.35","0.97","1.17","3238","0","22:50:08","15894","0","7896","40"
"6880","1.35","0.97","1.17","3237","0","22:50:09","15894","0","7897","40"
"6880","1.34","0.89","1.15","3238","0","22:50:10","15894","0","7896","40"
"6880","1.34","0.89","1.15","3238","0","22:50:11","15894","0","7896","40"
"6880","1.34","0.89","1.15","3237","0","22:50:12","15894","0","7897","40"
"6879","1.34","0.89","1.15","3237","0","22:50:13","15894","0","7896","40"
"6879","1.34","0.89","1.15","3236","0","22:50:14","15894","0","7897","40"
"6880","1.34","0.82","1.13","3238","0","22:50:15","15894","0","7896","40"
"6880","1.34","0.82","1.13","3238","0","22:50:16","15894","0","7896","40"
"6880","1.34","0.82","1.13","3237","0","22:50:17","15894","0","7897","40"
"6878","1.34","0.82","1.13","3236","0","22:50:18","15894","0","7897","40"
"6878","1.34","0.82","1.13","3235","0","22:50:19","15894","0","7897","40"
"6879","1.33","0.83","1.13","3236","0","22:50:20","15894","0","7898","40"
"6878","1.33","0.83","1.13","3235","0","22:50:21","15894","0","7899","40"
"6879","1.33","0.83","1.13","3236","0","22:50:22","15894","0","7898","40"
